Date,Open,High,Low,Close,Volume
1981-09-11,120.07,122.18,116.85,121.61,200944445
1981-09-18,121.61,122,115.18,116.26,235477778
1981-09-25,116.26,118.19,111.64,112.77,274855555
1981-10-02,112.77,120.16,110.19,119.36,275511110
1981-10-09,119.36,123.28,118.08,121.45,271033333
1981-10-16,121.45,122.37,118.01,119.19,215866667
1981-10-23,119.19,121.94,117.58,118.6,249144445
1981-10-30,118.6,122.53,116.81,121.89,265533333
1981-11-06,122.35,126,121.85,122.67,297000000
1981-11-13,122.67,124.71,121.06,121.67,272711111
1981-11-20,121.64,122.59,119.13,121.71,264233333
1981-11-27,121.71,125.71,120.76,125.09,210877778
1981-12-04,125.09,127.32,123.63,126.26,272088890
1981-12-11,126.26,126.91,123.52,124.93,253933333
1981-12-18,124.37,124.87,121.73,124,255344444
1981-12-25,124,124.71,121.57,122.54,173844445
1982-01-01,122.54,123.42,121.04,122.55,163733333
1982-01-08,122.55,123.72,117.7,119.55,245822221
1982-01-15,119.55,120.34,114.07,116.33,263422222
1982-01-22,116.33,118.15,114.29,115.38,257588889
1982-01-29,115.38,121.38,113.63,120.4,309100001
1982-02-05,119.81,119.81,114.88,117.26,276611111
1982-02-12,117.04,117.04,112.82,114.38,259266667
1982-02-19,114.38,115.09,112.06,113.22,231877778
1982-02-26,113.22,114.9,110.03,113.11,312455556
1982-03-05,113.11,114.8,108.31,109.34,365355555
1982-03-12,109.34,111.06,104.46,108.61,339322221
1982-03-19,108.61,111.59,107.47,110.61,268544444
1982-03-26,110.71,114.51,110.71,111.94,298322222
1982-04-02,111.94,115.79,110.9,115.12,267999999
1982-04-09,115.12,116.94,113.7,116.22,226022222
1982-04-16,116.22,117.7,114.8,116.81,268800001
1982-04-23,116.81,118.64,114.83,118.64,341344444
1982-04-30,118.94,119.33,116.07,116.44,296711111
1982-05-07,115.96,119.89,115.91,119.47,331933333
1982-05-14,119.08,119.92,118.01,118.01,298133333
1982-05-21,117.62,118.02,114.37,114.89,263333334
1982-05-28,114.46,115.51,111.66,111.88,247111111
1982-06-04,111.97,112.48,110.02,110.09,203811111
1982-06-11,109.59,111.48,108.53,111.24,296422222
1982-06-18,110.5,111.22,107.07,107.28,271533334
1982-06-25,107.28,110.92,107.01,109.14,292188889
1982-07-02,109.3,111,107.6,107.65,271811110
1982-07-09,107.27,108.97,105.57,108.83,244900000
1982-07-16,109.48,111.48,108.89,111.07,354277778
1982-07-23,111.75,112.39,110.35,111.17,313344444
1982-07-30,110.66,111.16,106.62,107.09,258066666
1982-08-06,107.71,109.43,103.67,103.71,300822223
1982-08-13,103.69,103.85,102.2,103.85,278977777
1982-08-20,103.86,113.02,103.86,113.02,505700012
1982-08-27,113.02,120.26,112.65,117.11,611000007
1982-09-03,117.05,123.64,115.79,122.68,482666661
1982-09-10,122.68,123.22,120.27,120.97,323433333
1982-09-17,120.94,124.88,120.25,122.55,394577778
1982-09-24,122.54,126.43,121.48,123.32,419388882
1982-10-01,123.32,124.16,120.14,121.97,334333333
1982-10-08,121.97,131.11,120.56,131.05,542566672
1982-10-15,131.06,137.97,131.06,133.57,658288895
1982-10-22,133.59,140.4,133.59,138.83,563222228
1982-10-29,138.81,138.81,131.5,133.72,462099999
1982-11-05,133.72,143.99,133.22,142.16,623566667
1982-11-12,142.12,144.36,139.53,139.53,525766666
1982-11-19,139.54,139.54,134.05,137.02,460199994
1982-11-26,137.03,137.1,132.89,134.88,282122222
1982-12-03,134.89,140.37,133.69,138.69,457266667
